id,franchise_id,franchise_name,restaurant_franchise_id,country,city,lat,lng
257698037796,37,Cafe Crepe,26468,IT,Milan,45.533,9.171
25769803831,56,The Waffle House,72230,FR,Paris,48.873,2.305
85899345988,69,Dragonfly Cafe,18952,NL,Amsterdam,52.392,4.911
111669149758,63,Cafe Paris,84488,NL,Amsterdam Zuidoost,52.310,4.942
163208757268,21,The Lazy Daisy,96638,US,Columbus,40.115,-83.015
154618822662,7,Cafe Roma,41484,US,Tatum,33.382,-103.395
163208757290,43,The Food House,96638,IT,Milan,45.474,9.224
266287972361,10,The Golden Spoon,11263,US,Marina,36.684,-121.792
171798691894,55,The Steak House,65939,GB,London,51.502,0.000
197568495640,25,The Cozy Cafe,24784,US,Oskaloosa,41.324,-92.646
163208757306,59,Azalea Cafe,96638,FR,Paris,48.871,2.294
42,43,The Food House,47732,AT,Vienna,48.163,16.340
23,24,The Fisherman's Catch,47732,ES,Barcelona,41.396,2.163
51539607572,21,The Lazy Daisy,6934,ES,Barcelona,41.387,2.174
257698037775,16,The Spice Tree,26468,US,Morgantown,39.631,-79.956
188978561036,13,The Firehouse,3642,US,Atlantic Beach,34.701,-76.747
77309411367,40,Crimson Cafe,78190,AT,Vienna,48.213,16.357
128849018902,23,The Hungry Pig,5679,ES,Barcelona,41.389,2.171
223338299392,1,Savoria,36937,US,Washington,13.368,100.987
103079215115,12,The Wooden Spoon,4340,US,Blythewood,34.214,-80.974
77309411392,65,Chef's Corner,78190,GB,Paddington,51.514,-0.177
25769803840,65,Chef's Corner,72230,GB,London,51.525,-0.077
8589934620,29,The Olive Branch,12630,US,Baraboo,43.479,-89.769
154618822685,30,The Wine Cellar,41484,US,Auburn,42.200,-71.841
249108103202,35,Basilica Bistro,55897,ES,Barcelona,41.396,2.182
128849018940,61,Blue Water Bistro,5679,FR,Paris,48.879,2.285
214748364840,41,The Daily Bread,92040,AT,Vienna,48.195,16.383
34359738417,50,The Pancake House,50333,US,Irving,48.869,2.283
257698037779,20,The Brasserie,26468,US,Laramie,41.325,-105.617
120259084320,33,The Blue Elephant,59829,US,Portland,47.939,1.893
111669149715,20,The Brasserie,84488,US,Willows,39.527,-122.212
111669149699,4,The Blue Plate,84488,US,El Paso,31.776,-106.433
60129542195,52,The Red Door,71555,FR,Paris,48.872,2.326
137438953522,51,The Pizzeria,11038,GB,London,51.501,-0.023
214748364856,57,The Yellow Submarine,92040,FR,Paris,48.865,2.347
146028888115,52,The Red Door,70611,AT,Vienna,48.187,16.302
214748364857,58,A Tasty Bite,92040,FR,Paris,48.866,2.332
223338299406,15,The Pearl Kitchen,36937,US,Columbus,40.007,-82.865
68719476798,63,Cafe Paris,77517,NL,Amsterdam,52.358,4.845
34359738419,52,The Red Door,50333,FR,Paris,48.873,2.316
137438953477,6,The Daily Grind,11038,US,Oklahoma City,35.480,-97.526
137438953518,47,The Juicy Burger,11038,FR,Paris,48.875,2.343
266287972367,16,The Spice Tree,11263,US,Bordentown,40.119,-74.752
180388626465,34,The Tasty Treat,7531,IT,Milan,45.491,9.239
51539607598,47,The Juicy Burger,6934,FR,Paris,48.869,2.352
240518168585,10,The Golden Spoon,93164,US,Phoenix,33.625,-112.114
146028888079,16,The Spice Tree,70611,US,Joplin,37.052,-94.478
146028888120,57,The Yellow Submarine,70611,AT,Vienna,48.231,16.355
68719476761,26,The Silver Spoon,77517,US,Eugene,44.050,-123.087
77309411332,5,The Hungry Hippo,78190,US,Laurel,31.694,-89.133
128849018935,56,The Waffle House,5679,FR,Paris,48.869,2.334
266287972399,48,The Local Cafe,11263,FR,Paris,48.845,2.324
103079215140,37,Cafe Crepe,4340,US,West Springfield,42.121,-72.626
223338299429,38,Cafe Viva,36937,FR,Paris,48.856,2.324
266287972426,75,Greenhouse Cafe,11263,GB,Paddington,51.512,-0.180
154618822686,31,Bistro 42,41484,US,Detroit,42.335,-83.041
137438953492,21,The Lazy Daisy,11038,US,Port Sanilac,43.429,-82.542
